Route,Stop Sequence,Stop Name,Stop Name Short,Latitude,Longitude
1,1,백석농공단지, 백석농공,36.82571406,127.109668
1,2,화성조명, 화성조명,36.82895536,127.1072966
1,3,한들문화센터입구, 한들센터,36.8307417,127.1064441
1,4,STS,S   T   S,36.83101965,127.1091264
1,5,제네시스, 제네시스 ,36.83104252,127.1124419
1,6,브라운스톤아파트,브라운스톤,36.83003128,127.1142824
1,7,벽산블루밍아파트,벽산블루밍,36.82471461,127.1123474
1,8,종합운동장,종합운동장,36.8204819,127.1110299
1,9,천안시청시의회,시청시의회,36.81592336,127.1126769
1,10,천안시청, 천안시청 ,36.81607966,127.1145045
1,11,백석호반1차아파트,백석호반 A,36.81835357,127.1189338
1,12,백석호반2차아파트,백석호반 A,36.81925199,127.1199854
1,13,백석초등학교, 백석초교 ,36.82076373,127.1207639
1,14,백석종합상가, 종합상가 ,36.82225226,127.1249236
1,15,백석현대아파트,백석현대 A,36.82240578,127.1257107
1,16,백석사거리,백석사거리,36.81895517,127.1322416
1,17,가구웨딩특화거리, 가구거리,36.81848565,127.1396809
1,18,우방아이유셀아파트,아이유셀,36.818555,127.150392
1,19,종합터미널,종합터미널,36.8187797,127.155972
1,20,신부경남아파트,신부경남 A,36.81552076,127.1581206
1,21,천안중학교,천안중학교,36.81130964,127.1582674
1,22,교보생명, 교보생명,36.80798399,127.1584761
1,23,교보사거리,교보사거리,36.80552772,127.1586705
1,24,원성극동아파트,원성극동 A,36.80285964,127.1589074
1,25,천안여중입구,천안여중앞,36.80049222,127.1590016
1,26,우성VIP 아파트,우성 VIP A,36.7985872,127.1564345
1,27,남부오거리,남부오거리,36.7985139,127.1516921
1,28,일봉초등학교, 일봉초교,36.79878796,127.1399841
1,29,다가동신성아파트,다가신성 A,36.79883462,127.1362324
1,30,충무병원, 충무병원,36.7982696,127.1324991
1,31,쌍용동 이마트,이마트쌍용,36.79631584,127.1287697
1,32,이화여성병원, 이화병원,36.79425133,127.1261474
1,33,쌍용역예일병원계룡아파트,쌍  용  역,36.79307799,127.1224607
1,34,쌍용고입구,쌍용고입구,36.79054961,127.1167541
1,35,월봉대우아파트,월봉대우 A,36.79516463,127.1147507
1,36,월봉벽산아파트,월봉벽산 A,36.79859296,127.1151341
1,37,불당 한성아파트,불당한성 A,36.80177419,127.114517
1,38,월봉고등학교, 월봉고교 ,36.80215674,127.1093388
1,39,갤러리아백화점, 갤러리아 ,36.80146069,127.1045475
1,40,불당시티프라디움3차,프라디움,36.7971352,127.100265
1,41,아산패션1광장,패션 1광장,36.79635,127.10214
1,42,충남북부상공회의소,상공회의소,36.79809,127.10926
1,43,천안교육지원청,천안교육청,36.8004692,127.1115156
1,44,불당한성아파트,불당한성A,36.80281799,127.1124357
1,45,불당동행정복지센터,불당동,36.8050216,127.113191
1,46,불당동일하이빌,불당동일 A,36.80799925,127.1140372
1,47,천안시청 서북구보건소, 천안시청,36.81392798,127.1158357
1,48,천안시청, 천안시청 ,36.81625965,127.1145991
1,1,천안시청,천안시청,36.81601921,127.1148099
1,2,천안시청 서북구보건소, 천안시청,36.81408213,127.115595
1,3,불당동일하이빌,불당동일 A,36.80778699,127.1137493
1,4,불당대동다숲,대동다숲 A,36.80505757,127.1129314
1,5,불당한성아파트,불당한성A,36.80304803,127.1122592
1,6,천안교육지원청,천안교육청,36.80054965,127.1111791
1,7,충남북부상공회의소,상공회의소,36.7978613,127.1086324
1,8,패션1광장,패션 1광장,36.79659,127.10219
1,9,펜타포트, 펜타포트 ,36.79744461,127.1008124
1,10,서당골,서  당  골,36.80050133,127.1006674
1,11,갤러리아백화점, 갤러리아 ,36.80115796,127.1042941
1,12,불당동문화카페거리, 카페거리,36.80163461,127.1067391
1,13,월봉중학교,월봉중학교,36.80183965,127.1110957
1,14,한화꿈에그린아파트,꿈에그린A,36.80162298,127.1137791
1,15,쌍용도서관,쌍용도서관,36.80043899,127.1151394
1,16,월봉벽산아파트,월봉벽산 A,36.79817587,127.1148467
1,17,월봉5차현대아파트,월봉현대 A,36.79577635,127.1146363
1,18,쌍용고입구,쌍용고입구,36.79023545,127.1169972
